symbol,symbol_type,exchange_name,description
TRTL,stock,NYSE,
TSP,stock,NASDAQ,
TWLO,stock,NYSE,
UA,stock,NYSE,
UNP,stock,NYSE,
U,stock,NYSE,
PATH,stock,NYSE,
VLO,stock,NYSE,
VZ,stock,NYSE,
BBIG,stock,NASDAQ,
WLL,stock,NYSE,
XPEV,stock,NYSE,
DAO,stock,NYSE,
ZM,stock,NASDAQ,
ZS,stock,NASDAQ,
ZNGA,stock,NASDAQ,
ZIP,stock,NYSE,
BRENTOIL,commodity,Commodity BRENTOIL,
CORN,commodity,Commodity 3,
SBEAN,commodity,Dev,
SUGAR,commodity,Commodity SUGAR,
WHEAT,commodity,Commodity WHEAT,
AU200,index,Index AU200,
EUR50,index,Index EUR50,
HSI,index,Index HSI,
NL25,index,Index NL25,
NSEI,index,Index NSEI,
RUT,index,Index RUT,
YCC-USD,crypto,Crypto,
SHIB-USD,crypto,Crypto,
COCOA,commodity,Commodity COCOA,
COFFEE,commodity,Commodity COFFEE,
COPPER,commodity,Commodity COPPER,
COTTON,commodity,Commodity COTTON,
ESP35,index,Index ESP35,
NIFTY50,index,Index NIFTY50,
RBOB,commodity,Commodity RBOB,
RICE,commodity,Commodity RICE,
SOYBEAN,commodity,Commodity 3,
SWISS20,index,SIX,
USDX,index,Index USDX,
FDX,stock,NYSE,
META,stock,NASDAQ,
LVMH,stock,Euronext Paris,
LCID,stock,NASDAQ,
TM,stock,NYSE,
VOW,stock,XETR,
MBG,stock,XETR,
NISSAN,stock,JPX,
OMXC25,index,Index OMXC25,
OMX,index,Index OMX,
OBX,index,Index OBX,
FTNT,stock,NASDAQ,
ENVX,stock,NASDAQ,
BTC-CAD,crypto,Crypto,
ETH-CAD,crypto,Crypto,
AEM,tsx,TSX,
AQN,tsx,TSX,
ATD,tsx,TSX,
BMO,tsx,TSX,
BNS,tsx,TSX,
ABX,tsx,TSX,
BHC,tsx,TSX,
BCE,tsx,TSX,
BAM.A,tsx,TSX,
BIP.UN,tsx,TSX,
CAE,tsx,TSX,
CCO,tsx,TSX,
CAR.UN,tsx,TSX,
CM,tsx,TSX,
CNR,tsx,TSX,
CNQ,tsx,TSX,
CP,tsx,TSX,
CTC.A,tsx,TSX,
CCL.B,tsx,TSX,
CVE,tsx,TSX,
GIB.A,tsx,TSX,
CSU,tsx,TSX,
DOL,tsx,TSX,
EMA,tsx,TSX,
ENB,tsx,TSX,
FM,tsx,TSX,
FSV,tsx,TSX,
FTS,tsx,TSX,
FNV,tsx,TSX,
WN,tsx,TSX,
GIL,tsx,TSX,
H.TSX,tsx,TSX,
IMO,tsx,TSX,
IFC,tsx,TSX,
K,tsx,TSX,
L,tsx,TSX,
MG,tsx,TSX,
MFC,tsx,TSX,
MRU,tsx,TSX,
NA,tsx,TSX,
NTR,tsx,TSX,
OTEX,tsx,TSX,
PPL,tsx,TSX,
POW,tsx,TSX,
QSR,tsx,TSX,
RCI.B,tsx,TSX,
RY,tsx,TSX,
SAP.TSX,tsx,TSX,
SJR.B,tsx,TSX,
SHOP.TSX,tsx,TSX,
SNC,tsx,TSX,
SLF,tsx,TSX,
SU,tsx,TSX,
TRP,tsx,TSX,
TECK.B,tsx,TSX,
T.TSX,tsx,TSX,
TRI,tsx,TSX,
TD,tsx,TSX,
WCN,tsx,TSX,
WPM,tsx,TSX,
TX60,index,Index TX60,
TWT-USD,crypto,Crypto,
LYG,stock,NYSE,
BCS,stock,NYSE,
TADAWUL,index,Tadawul,
SAOC,stock,Tadawul,
TAQA,stock,Crypto,
USD/AED,forex,Forex,
USD/SAR,forex,Forex,
OCEAN-USD,crypto,Crypto,
FET-USD,crypto,Crypto,
CTXC-USD,crypto,Crypto,
USD/KES,forex,Forex,
USD/UGX,forex,Forex,
USD/TZS,forex,Forex,
USD/GHS,forex,Forex,
EUR/GHS,forex,Forex,
